Year,Team,IP,H,HR,BB,SO,ER,FIP,BB_9,K_9,HR_9,ERA,H_9,Team_norm
2021,KT,1258.4,1176,86,489,1062,518,4.702916666666667,3.497298156389066,7.595359186268278,0.6150667514303879,3.7047043865225686,8.410680228862049,KT
2022,SSG,1296.9,1223,130,457,1023,564,5.691724137931034,3.171408743927828,7.099236641221373,0.9021512838306732,3.913948646773074,8.487161693268563,SSG
2023,LG,1284.7,1266,74,491,977,532,5.861515151515151,3.439713551801977,6.8443994706935465,0.5184089670740251,3.726940141667315,8.868996652915078,LG
2024,KIA,1281.4,1365,141,539,1123,643,5.621290322580645,3.785703137193694,7.88746683315124,0.9903230841267364,4.516154206336819,9.58717028250351,KIA
2025,LG,1274.2,1236,91,491,1080,541,6.4383333333333335,3.468058389577774,7.628315805995919,0.6427562392089153,3.8212211583738815,8.730183644639773,LG
