Year,Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,SO,GDP,SH,SF,ePA,BB_HBP_PA,SO_PA,HR_PA,AVG_calc,OBP_calc,SLG_calc,ISO_calc,R_PA,H_minus_HR_PA,GDP_PA,Team_norm
2021,KT,5626,4810,719,1276,219,11,106,1835,673,112,46,644,58,1047,105,69,44,5541,0.1247778172769285,0.1861002488446498,0.0188410949164592,0.2652806652806653,0.3560115190784737,0.3814968814968815,0.1162162162162162,0.1277995023107003,0.2079630287948809,0.0186633487380021,KT
2022,SSG,5642,4893,720,1245,242,18,138,1937,682,98,39,530,95,1075,96,77,47,5550,0.1107763204537398,0.1905352711804324,0.0244594115561857,0.2544451256897609,0.3360287511230907,0.395871653382383,0.1414265276926221,0.1276143211627082,0.1962070187876639,0.0170152428216944,SSG
2023,LG,5687,4881,767,1364,227,27,93,1924,714,166,101,583,73,804,89,94,55,5587,0.1153508000703358,0.1413750659398628,0.0163530859855811,0.2794509321860274,0.3612303290414878,0.3941815201802909,0.1147305879942634,0.1348689994724811,0.2234921751362757,0.0156497274485669,LG
2024,KIA,5812,5124,858,1542,266,28,163,2353,812,125,44,529,59,915,119,45,53,5755,0.1011699931176875,0.1574328974535443,0.0280454232622161,0.3009367681498829,0.3694709453599306,0.4592115534738485,0.1582747853239656,0.1476256022023399,0.2372677219545767,0.020474879559532,KIA
2025,LG,5711,4918,788,1366,219,19,130,2013,732,121,49,603,68,975,99,63,59,5638,0.117492558220977,0.1707231658203467,0.0227630887760462,0.2777551850345669,0.3606586402266289,0.409312728751525,0.1315575437169581,0.1379793381194186,0.2164244440553318,0.0173349676063736,LG
