Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
12906,이정후,1998년 08월 20일,우투좌타,광주서석초-휘문중-휘문고,17 넥센 1차,2021,키움,23,RF,123,6.56,-0.07,544,543,464,78,167,42,6,7,242,84,10,3,62,9,1,37,8,0,9,0.36,0.438,0.522,0.96,0.205,171.8,6.49
12906,이정후,1998년 08월 20일,우투좌타,광주서석초-휘문중-휘문고,17 넥센 1차,2022,키움,24,CF,142,8.57,0.2,627,618,553,85,193,36,10,23,318,113,5,0,66,5,12,32,10,0,3,0.349,0.421,0.575,0.996,0.212,186.4,8.77
12906,이정후,1998년 08월 20일,우투좌타,광주서석초-휘문중-휘문고,17 넥센 1차,2023,키움,25,CF,86,3.62,0.74,387,384,330,50,105,23,2,6,150,45,6,3,49,3,7,23,1,0,5,0.318,0.406,0.455,0.861,0.17,146.6,4.36
12916,이정훈,1994년 12월 07일,우투좌타,교문초-배재중-휘문고-경희대,17 KIA 2차 10라운드 94순위,2021,KIA,27,C,41,0.13,-0.07,151,151,129,14,32,6,0,2,44,14,0,0,19,3,0,33,3,0,0,0.248,0.358,0.341,0.699,0.12,96.8,0.06
12916,이정훈,1994년 12월 07일,우투좌타,교문초-배재중-휘문고-경희대,17 KIA 2차 10라운드 94순위,2023,롯데,29,DH,59,0.38,-0.3,171,171,152,17,45,7,0,1,55,17,1,1,13,3,0,28,1,0,3,0.296,0.357,0.362,0.719,0.122,101.2,0.08
12916,이정훈,1994년 12월 07일,우투좌타,교문초-배재중-휘문고-경희대,17 KIA 2차 10라운드 94순위,2024,롯데,30,DH,65,0.2,-0.06,116,114,100,10,30,8,0,0,38,18,0,0,13,0,1,21,4,1,2,0.3,0.374,0.38,0.754,0.133,94.9,0.14
12916,이정훈,1994년 12월 07일,우투좌타,교문초-배재중-휘문고-경희대,17 KIA 2차 10라운드 94순위,2025,KT,31,LF,59,0.32,-0.4,148,148,132,20,34,4,0,4,50,14,0,1,13,3,0,48,4,0,0,0.258,0.338,0.379,0.717,0.12,96.3,-0.08
12917,김석환,1999년 02월 28일,좌투좌타,광주서석초-광주동성중-광주동성고,17 KIA 2차 3라운드 24순위,2022,KIA,23,LF,51,-0.36,0.02,107,107,94,15,14,2,0,3,25,7,0,0,10,3,0,32,1,0,0,0.149,0.252,0.266,0.518,0.053,45.9,-0.34
12917,김석환,1999년 02월 28일,좌투좌타,광주서석초-광주동성중-광주동성고,17 KIA 2차 3라운드 24순위,2025,KIA,26,LF,47,0.31,-0.39,134,134,117,14,31,1,2,2,42,16,0,0,14,2,0,55,0,0,1,0.265,0.351,0.359,0.71,0.123,103.8,-0.08
12922,박성한,1998년 03월 30일,우투좌타,순천북초-여수중-효천고,17 SK 2차 2라운드 16순위,2021,SSG,23,SS,135,4.03,0.24,471,459,407,53,123,21,1,4,158,44,12,5,49,1,0,73,1,12,2,0.302,0.377,0.388,0.765,0.139,110.3,4.26
