Group,n,OBP_mean,BB+HBP/PA_mean,SO/PA_mean,wRC+_mean
Champions (2021–2025),5,0.3567,0.1139,0.1692,111.4136
All Teams (2021–2025),50,0.3417,0.107,0.1863,100.1818
