year,팀명,PA,AB,H,TB,BB,HBP,SO,SF,AVG,OBP,SLG,ISO,SO_PA,BBHBP_PA,wRC_plus
2021,KIA,5577.0,4831.0,1198.0,1621.0,595.0,73.0,921.0,37.0,0.24798178430966675,0.3370664739884393,0.33554129579797143,0.08755951148830468,0.16514254975793438,0.1197776582391967,85.8854043392505
2021,KT,5626.0,4810.0,1276.0,1835.0,644.0,58.0,1047.0,44.0,0.2652806652806653,0.3560115190784737,0.3814968814968815,0.1162162162162162,0.18610024884464985,0.12477781727692855,101.8136864557412
2021,LG,5533.0,4750.0,1188.0,1750.0,592.0,94.0,926.0,45.0,0.2501052631578947,0.3419084108739281,0.3684210526315789,0.11831578947368421,0.16735947948671606,0.12398337249231882,101.32280860292788
2021,NC,5530.0,4806.0,1254.0,2001.0,511.0,111.0,1093.0,43.0,0.26092384519350814,0.3428989215865472,0.416354556803995,0.15543071161048688,0.19764918625678118,0.11247739602169982,103.82327305605786
2021,SSG,5735.0,4898.0,1278.0,2063.0,636.0,94.0,1055.0,52.0,0.26092282564311964,0.35352112676056335,0.421192323397305,0.16026949775418536,0.1839581517000872,0.12728857890148212,109.40458587619877
2021,두산,5645.0,4900.0,1314.0,1913.0,560.0,86.0,943.0,53.0,0.26816326530612244,0.35006251116270765,0.39040816326530614,0.1222448979591837,0.1670504871567759,0.11443755535872453,109.46460584588132
2021,롯데,5726.0,5009.0,1393.0,2000.0,579.0,54.0,969.0,46.0,0.27809942104212415,0.35618846694796064,0.3992812936713915,0.12118187262926733,0.16922808243101642,0.11054837582954942,102.2554837582955
2021,삼성,5552.0,4836.0,1292.0,1931.0,545.0,55.0,902.0,68.0,0.26716294458229944,0.34375,0.3992969396195203,0.13213399503722084,0.16246397694524495,0.10806916426512968,97.9879863112392
2021,키움,5653.0,4874.0,1262.0,1835.0,595.0,93.0,1053.0,56.0,0.2589249076733689,0.34709861160555355,0.37648748461222814,0.11756257693885924,0.18627277551742438,0.12170528922695914,101.49421546081727
2021,한화,5495.0,4685.0,1111.0,1598.0,633.0,74.0,1286.0,49.0,0.23713980789754535,0.33412975555963975,0.34108858057630737,0.10394877267876201,0.2340309372156506,0.1286624203821656,88.31990900818926
2022,KIA,5703.0,5000.0,1361.0,1988.0,542.0,63.0,983.0,36.0,0.2722,0.34851976599893636,0.3976,0.1254,0.17236542170787306,0.10608451692091882,111.97745046466774
2022,KT,5547.0,4864.0,1237.0,1824.0,519.0,49.0,1183.0,44.0,0.2543174342105263,0.3296201607012418,0.375,0.12068256578947367,0.21326843338741663,0.1023976924463674,93.79578150351541
2022,LG,5626.0,4926.0,1325.0,1953.0,501.0,103.0,924.0,46.0,0.2689809175801868,0.34594691535150646,0.39646772228989036,0.12748680470970358,0.16423746889441876,0.10735869178812656,115.7460718094561
2022,NC,5585.0,4899.0,1260.0,1835.0,501.0,88.0,981.0,47.0,0.25719534598897736,0.33405600722673895,0.3745662380077567,0.11737089201877932,0.1756490599820949,0.10546105640107431,98.30334825425246
2022,SSG,5642.0,4893.0,1245.0,1937.0,530.0,95.0,1075.0,47.0,0.2544451256897609,0.3360287511230907,0.395871653382383,0.1414265276926221,0.19053527118043248,0.11077632045373981,103.12029422190714
2022,두산,5510.0,4891.0,1249.0,1786.0,450.0,71.0,1007.0,45.0,0.2553670006133715,0.3243540406816932,0.3651604988754856,0.1097934982621141,0.18275862068965518,0.09455535390199638,97.14557168784029
2022,롯데,5534.0,4948.0,1320.0,1897.0,417.0,54.0,991.0,42.0,0.2667744543249798,0.32796191173777695,0.3833872271624899,0.11661277283751009,0.17907481026382363,0.08511022768341164,94.49691001084206
2022,삼성,5647.0,5023.0,1358.0,1946.0,446.0,54.0,1029.0,41.0,0.27035636074059327,0.3339324227174694,0.38741787776229347,0.1170615170217002,0.18222064813175137,0.08854258898530193,97.96807154241189
2022,키움,5655.0,4953.0,1250.0,1801.0,527.0,92.0,1032.0,34.0,0.2523722996163941,0.3333927934356047,0.36361800928730065,0.11124570967090652,0.18249336870026525,0.10946065428824049,99.69534924845271
2022,한화,5513.0,4878.0,1196.0,1715.0,497.0,52.0,1264.0,40.0,0.24518245182451825,0.319187854399122,0.35157851578515786,0.10639606396063961,0.2292762561218937,0.09958280428079086,88.06147288227825
2023,KIA,5607.0,4954.0,1365.0,1934.0,500.0,46.0,957.0,44.0,0.27553492127573675,0.3446969696969697,0.39039160274525636,0.1148566814695196,0.17067950775815943,0.09737827715355805,108.51143213839845
2023,KT,5649.0,4973.0,1316.0,1846.0,524.0,48.0,1074.0,47.0,0.2646289965815403,0.3376251788268956,0.37120450432334606,0.10657550774180574,0.19012214551248008,0.10125685962117188,95.07486280757655
2023,LG,5687.0,4881.0,1364.0,1924.0,583.0,73.0,804.0,55.0,0.27945093218602746,0.36123032904148783,0.3941815201802909,0.11473058799426344,0.14137506593986285,0.11535080007033585,118.56270441357482
2023,NC,5605.0,4894.0,1321.0,1894.0,493.0,100.0,1005.0,55.0,0.26992235390273805,0.34536268495128114,0.3870044953003678,0.11708214139762974,0.1793041926851026,0.10579839429081178,105.85766280107046
2023,SSG,5630.0,4923.0,1279.0,1915.0,507.0,78.0,943.0,45.0,0.25980093438959984,0.3356744102287052,0.38899045297582774,0.1291895185862279,0.1674955595026643,0.10390763765541741,100.07756660746004
2023,두산,5538.0,4859.0,1238.0,1812.0,505.0,76.0,975.0,41.0,0.2547849351718461,0.33187374566684913,0.3729162379090348,0.11813130273718869,0.176056338028169,0.10491152040447815,101.45487540628385
2023,롯데,5576.0,4871.0,1289.0,1765.0,522.0,51.0,1000.0,57.0,0.26462738657359886,0.3384839120159971,0.3623485937179224,0.09772120714432353,0.1793400286944046,0.10276183644189384,94.14460186513631
2023,삼성,5580.0,4911.0,1290.0,1808.0,487.0,62.0,954.0,43.0,0.2626756261453879,0.334181355624205,0.36815312563632663,0.10547749949093871,0.17096774193548386,0.09838709677419355,94.30713261648746
2023,키움,5729.0,5062.0,1323.0,1789.0,484.0,74.0,1096.0,58.0,0.2613591465823785,0.331278619232124,0.3534176214934808,0.0920584749111023,0.19130738348751963,0.09739919706755105,92.50570780240879
2023,한화,5628.0,4906.0,1184.0,1719.0,535.0,88.0,1162.0,40.0,0.24133713819812475,0.3244747710540492,0.35038728088055443,0.10905014268242968,0.2064676616915423,0.11069651741293532,89.35819118692253
2024,KIA,5812.0,5124.0,1542.0,2353.0,529.0,59.0,915.0,53.0,0.3009367681498829,0.36947094535993064,0.45921155347384857,0.15827478532396566,0.15743289745354438,0.10116999311768754,114.90151410874056
2024,KT,5808.0,5072.0,1413.0,2114.0,580.0,49.0,1123.0,45.0,0.27858832807570977,0.35537765402018795,0.4167981072555205,0.13820977917981075,0.19335399449035812,0.10829889807162535,98.54249311294767
2024,LG,5723.0,4917.0,1394.0,2035.0,616.0,71.0,968.0,73.0,0.28350620296929024,0.3665668486876872,0.41387024608501116,0.13036404311572092,0.16914205836099946,0.12004193604752753,109.14221562117773
2024,NC,5757.0,5009.0,1371.0,2143.0,513.0,128.0,1200.0,57.0,0.27370732681173887,0.35254950061328194,0.427829906168896,0.15412257935715712,0.20844189682126107,0.11134271321869028,104.90015633142262
2024,SSG,5646.0,5000.0,1367.0,2102.0,470.0,77.0,1094.0,48.0,0.2734,0.3420911528150134,0.4204,0.14700000000000002,0.19376549769748494,0.09688274884874247,92.90063761955366
2024,두산,5679.0,4974.0,1375.0,2110.0,510.0,81.0,1076.0,59.0,0.27643747486932047,0.34957325746799434,0.424205870526739,0.14776839565741856,0.18946997710864588,0.10406761753829899,103.20882197569995
2024,롯데,5766.0,5110.0,1454.0,2196.0,494.0,68.0,1079.0,57.0,0.2845401174168297,0.3518938732763135,0.4297455968688845,0.1452054794520548,0.18713146028442595,0.09746791536593825,98.06342351716961
2024,삼성,5697.0,4975.0,1336.0,2129.0,531.0,87.0,1150.0,47.0,0.2685427135678392,0.34645390070921983,0.42793969849246233,0.15939698492462312,0.20186062840091276,0.10847814639283834,95.88258732666316
2024,키움,5532.0,4896.0,1306.0,1873.0,475.0,75.0,1077.0,49.0,0.2667483660130719,0.337761601455869,0.38255718954248363,0.11580882352941174,0.19468546637744036,0.09942154736080984,90.96202096890818
2024,한화,5702.0,5005.0,1351.0,1992.0,530.0,85.0,1077.0,40.0,0.2699300699300699,0.3473498233215548,0.398001998001998,0.12807192807192808,0.18888109435285866,0.10785689231848475,93.590459487899
2025,KIA,5618.0,4943.0,1276.0,1972.0,526.0,67.0,1210.0,39.0,0.25814282824195833,0.33524663677130045,0.3989480072830265,0.14080517904106815,0.21537913848344606,0.10555357778568886,104.07844428622286
2025,KT,5588.0,4845.0,1228.0,1788.0,555.0,80.0,1044.0,43.0,0.2534571723426213,0.3373166757197175,0.3690402476780186,0.1155830753353973,0.18682891911238367,0.11363636363636363,94.71431639226914
2025,LG,5711.0,4918.0,1366.0,2013.0,603.0,68.0,975.0,59.0,0.2777551850345669,0.3606586402266289,0.409312728751525,0.1315575437169581,0.1707231658203467,0.11749255822097707,118.67004027315706
2025,NC,5563.0,4810.0,1254.0,1921.0,504.0,136.0,1087.0,51.0,0.2607068607068607,0.3443010361752409,0.39937629937629937,0.13866943866943865,0.1953981664569477,0.11504583857630775,104.11677152615496
2025,SSG,5517.0,4875.0,1249.0,1833.0,493.0,60.0,1159.0,37.0,0.2562051282051282,0.3297346752058554,0.376,0.1197948717948718,0.2100779409099148,0.10023563530904477,91.71502628239985
2025,두산,5581.0,4952.0,1298.0,1898.0,469.0,65.0,1169.0,42.0,0.2621163166397415,0.3314037626628075,0.3832794830371567,0.1211631663974152,0.20946067013080094,0.0956817774592367,99.02888371259633
2025,롯데,5682.0,4944.0,1318.0,1837.0,530.0,91.0,1030.0,45.0,0.26658576051779936,0.34563279857397505,0.37156148867313915,0.10497572815533979,0.1812741992256248,0.10929250263991552,96.01752903907075
2025,삼성,5671.0,4899.0,1330.0,2090.0,564.0,86.0,1087.0,55.0,0.2714839763216983,0.3533190578158458,0.42661767707695447,0.15513370075525618,0.19167695291835654,0.11461823311585258,108.26365720331508
2025,키움,5492.0,4921.0,1200.0,1769.0,437.0,63.0,1214.0,33.0,0.2438528754318228,0.3116978364503117,0.3594797805324121,0.11562690510058929,0.2210487982520029,0.09104151493080845,89.0656591405681
2025,한화,5547.0,4892.0,1303.0,1933.0,439.0,90.0,1038.0,46.0,0.2663532297628782,0.33510151820010975,0.39513491414554375,0.12878168438266557,0.18712817739318552,0.09536686497205697,99.39015684153598
