year,팀명,PA,AB,H,TB,BB,HBP,SO,SF,AVG,OBP,SLG,ISO,SO_PA,BBHBP_PA,wRC_plus
2021,KIA,5289.0,4572.0,1150.0,1557.0,576.0,64.0,814.0,36.0,0.2515310586176728,0.3410823170731707,0.3405511811023622,0.08902012248468943,0.15390432974097182,0.12100586122140292,88.71864246549441
2021,KT,5503.0,4700.0,1251.0,1807.0,634.0,56.0,1018.0,44.0,0.2661702127659574,0.3571954361428046,0.384468085106383,0.11829787234042555,0.18499000545157188,0.12538615300745048,102.99854624750137
2021,LG,5287.0,4548.0,1157.0,1707.0,569.0,88.0,875.0,41.0,0.25439753737906773,0.34578726648875335,0.37532981530343007,0.12093227792436234,0.16550028371477207,0.1242670701721203,104.79530924910155
2021,NC,5343.0,4646.0,1222.0,1958.0,497.0,104.0,1053.0,42.0,0.26302195436935,0.34467763282283986,0.4214377959535084,0.1584158415841584,0.19708029197080293,0.11248362343252855,105.68585064570466
2021,SSG,5592.0,4769.0,1256.0,2030.0,630.0,90.0,1012.0,52.0,0.26336758230236945,0.3566143295434037,0.4256657580205494,0.16229817571817995,0.18097281831187412,0.12875536480686695,111.71012160228898
2021,두산,5524.0,4794.0,1293.0,1887.0,550.0,84.0,913.0,52.0,0.26971214017521905,0.35164233576642334,0.39361702127659576,0.12390488110137671,0.16527878349022448,0.11477190441708907,110.92445691527878
2021,롯데,5420.0,4742.0,1344.0,1933.0,545.0,53.0,874.0,44.0,0.2834247153099958,0.36069836552748885,0.40763390974272457,0.12420919443272876,0.16125461254612547,0.11033210332103321,105.86540590405905
2021,삼성,5403.0,4703.0,1267.0,1904.0,535.0,52.0,858.0,67.0,0.26940250903678503,0.3460892290461079,0.404847969381246,0.13544546034446098,0.15880066629650194,0.10864334628909865,100.14323523968164
2021,키움,5496.0,4736.0,1239.0,1798.0,580.0,91.0,1001.0,54.0,0.26161317567567566,0.3497527925288409,0.3796452702702703,0.11803209459459463,0.18213245997088792,0.12208879184861718,103.37041484716158
2021,한화,5293.0,4508.0,1091.0,1574.0,611.0,73.0,1214.0,49.0,0.24201419698314108,0.33867582522419387,0.34915705412599823,0.10714285714285715,0.22935953145664084,0.12922728131494426,92.01779709049688
2022,KIA,5631.0,4935.0,1355.0,1979.0,538.0,61.0,960.0,36.0,0.2745694022289767,0.35080789946140034,0.40101317122593716,0.12644376899696047,0.17048481619605754,0.10637542177233174,113.7036405611792
2022,KT,5447.0,4769.0,1225.0,1808.0,517.0,48.0,1147.0,44.0,0.2568672677710212,0.33283748605429525,0.3791151184734745,0.12224785070245331,0.2105746282357261,0.1037268221039104,95.98885625114742
2022,LG,5570.0,4875.0,1316.0,1944.0,497.0,103.0,913.0,46.0,0.26994871794871794,0.34703857996739723,0.39876923076923076,0.12882051282051282,0.16391382405745064,0.10771992818671454,116.8236983842011
2022,NC,5416.0,4737.0,1227.0,1789.0,498.0,86.0,932.0,47.0,0.25902469917669413,0.33736959761549923,0.3776651889381465,0.11864048976145236,0.17208271787296897,0.10782865583456426,100.49289143279172
2022,SSG,5463.0,4738.0,1220.0,1904.0,516.0,93.0,1031.0,45.0,0.25749261291684256,0.3392062314540059,0.4018573237653018,0.14436471084845925,0.18872414424308986,0.11147721032399781,105.80311184330954
2022,두산,5230.0,4631.0,1189.0,1708.0,440.0,67.0,930.0,43.0,0.256748002591233,0.32734993244547383,0.3688188296264306,0.1120708270351976,0.17782026768642448,0.09694072657743785,99.48307839388146
2022,롯데,5403.0,4833.0,1305.0,1879.0,407.0,53.0,953.0,42.0,0.27001862197392923,0.33083411433926896,0.3887854334781709,0.11876681150424168,0.17638349065334075,0.08513788635942994,96.84136590782897
2022,삼성,5334.0,4745.0,1311.0,1883.0,424.0,47.0,939.0,38.0,0.276290832455216,0.33917015607156453,0.3968387776606955,0.12054794520547946,0.17604049493813273,0.08830146231721035,102.05719910011248
2022,키움,5535.0,4849.0,1232.0,1774.0,513.0,92.0,997.0,34.0,0.254073004743246,0.33473032069970843,0.36584862858321304,0.11177562383996703,0.18012646793134598,0.1093044263775971,100.78377597109305
2022,한화,5318.0,4697.0,1163.0,1670.0,490.0,51.0,1194.0,39.0,0.2476048541622312,0.3229107447413303,0.3555460932510113,0.10794123908878006,0.2245204964272283,0.10172997367431365,90.62692741632192
2023,KIA,5441.0,4811.0,1345.0,1906.0,488.0,45.0,909.0,44.0,0.2795676574516732,0.34855233853006684,0.3961754313032634,0.11660777385159016,0.16706487777981988,0.09795993383569197,111.6706855357471
2023,KT,5508.0,4847.0,1299.0,1828.0,513.0,46.0,1030.0,47.0,0.26800082525273367,0.3407298734641482,0.3771404992779039,0.10913967402517022,0.18700072621641248,0.1014887436456064,97.6275054466231
2023,LG,5483.0,4695.0,1331.0,1880.0,570.0,70.0,756.0,54.0,0.283493077742279,0.3657450361848209,0.40042598509052185,0.11693290734824285,0.13788072223235456,0.11672442093744301,121.96813788072222
2023,NC,5471.0,4775.0,1295.0,1860.0,482.0,99.0,967.0,54.0,0.2712041884816754,0.3467652495378928,0.38952879581151834,0.11832460732984296,0.17675013708645587,0.10619630780478889,107.06960336318772
2023,SSG,5423.0,4742.0,1249.0,1877.0,492.0,77.0,893.0,40.0,0.2633909742724589,0.3397495795178471,0.3958245466048081,0.1324335723323492,0.16466900239719712,0.10492347409183109,103.38194726166327
2023,두산,5390.0,4729.0,1213.0,1781.0,494.0,74.0,935.0,38.0,0.25650243180376403,0.3338331771321462,0.3766123916261366,0.12010995982237255,0.17346938775510204,0.10538033395176252,103.22495361781075
