year,팀명,IP,ERA,FIP,HR,BB,HBP,SO
2021,KIA,1093.8,4.780581459133297,1.4280490034741269,116.0,490.0,86.0,837.0
2021,KT,1162.2,3.4228187919463084,0.3510583376355188,73.0,439.0,40.0,989.0
2021,LG,1101.5,3.333635950975942,0.5410803449841126,69.0,442.0,79.0,932.0
2021,NC,1082.2000000000003,4.324524117538346,1.0441692847902417,106.0,468.0,60.0,916.0
2021,SSG,1105.3999999999999,4.5838610457752855,1.389542247150353,123.0,501.0,62.0,876.0
2021,두산,1095.6000000000001,3.9923329682365822,0.8169039795545818,86.0,476.0,59.0,914.0
2021,롯데,1086.6000000000001,4.986195472114853,1.2930241119087058,110.0,523.0,72.0,905.0
2021,삼성,1072.3000000000002,4.0203301314930515,0.8700923249090738,103.0,419.0,41.0,893.0
2021,키움,1138.6999999999998,4.070431193466234,1.0266092912970934,88.0,485.0,70.0,820.0
2021,한화,1028.5,4.235294117647059,1.1210500729217308,90.0,503.0,70.0,868.0
2022,KIA,1085.0,3.873732718894009,0.6737327188940092,94.0,398.0,43.0,907.0
2022,KT,1186.5,3.3754740834386854,0.13822166034555414,82.0,319.0,53.0,1009.0
2022,LG,1172.3999999999999,3.231832139201638,0.38723984988058685,83.0,381.0,50.0,959.0
2022,NC,1146.7,3.680997645417284,0.5860294758873288,98.0,417.0,81.0,1048.0
2022,SSG,1167.1,3.6012338274355242,0.7128780738582813,107.0,376.0,53.0,923.0
2022,두산,1070.2,4.154363670341992,0.9035694262754624,88.0,439.0,54.0,828.0
2022,롯데,1190.4,4.211189516129032,0.2234543010752688,78.0,421.0,73.0,1115.0
2022,삼성,1151.4,4.283480979676915,0.8832725377800937,110.0,394.0,57.0,883.0
2022,키움,1098.6000000000001,3.473511742217367,0.48607318405243033,78.0,367.0,47.0,861.0
2022,한화,1091.6000000000001,4.724257969952363,1.2312202271894466,96.0,507.0,67.0,813.0
2023,KIA,1131.6,3.9607635206786855,0.767055496641923,79.0,499.0,48.0,900.0
2023,KT,1144.6000000000001,3.6641621527171058,0.20968023763760263,71.0,333.0,32.0,889.0
2023,LG,1177.7999999999997,3.5608762098828333,0.4491424690100188,67.0,421.0,69.0,906.0
2023,NC,1185.7,3.7496837311292905,0.5178375643080037,89.0,441.0,56.0,1017.0
2023,SSG,1245.1,4.31531603887238,1.0577463657537547,99.0,579.0,61.0,945.0
2023,두산,1100.5,3.614720581553839,0.4943207632894139,77.0,374.0,67.0,890.0
2023,롯데,1057.5000000000002,3.770212765957446,0.35082742316784865,60.0,406.0,69.0,917.0
2023,삼성,1098.1,4.212731080958019,0.7349057462890448,91.0,354.0,38.0,776.0
2023,키움,1103.8,4.084979162891829,0.4756296430512774,67.0,406.0,46.0,851.0
2023,한화,1188.3000000000002,4.14289320878566,0.7548598838677101,91.0,447.0,89.0,947.0
2024,KIA,1140.8,4.165497896213184,0.9475806451612904,118.0,452.0,65.0,1002.0
2024,KT,1174.3999999999999,4.935286103542235,0.875340599455041,140.0,369.0,55.0,1032.0
2024,LG,1033.7,4.2401083486504785,0.7071684241075747,95.0,387.0,53.0,912.0
2024,NC,1155.9,4.656112120425642,0.9127087118262824,121.0,432.0,54.0,988.0
2024,SSG,1073.2,4.805255311218785,1.2271710771524413,131.0,504.0,58.0,1036.0
2024,두산,1123.1999999999998,4.663461538461539,1.1663105413105415,117.0,494.0,75.0,959.0
2024,롯데,1092.6000000000001,4.86820428336079,0.8877905912502287,120.0,406.0,56.0,988.0
2024,삼성,1182.1,4.4158700617545055,1.3069960240250402,147.0,413.0,77.0,918.0
2024,키움,1052.6000000000001,4.753942618278548,1.197035911077332,116.0,379.0,67.0,793.0
2024,한화,1165.5,4.8108108108108105,0.8468468468468469,117.0,459.0,67.0,1056.0
2025,KIA,1092.0,4.285714285714286,0.641941391941392,88.0,406.0,65.0,928.0
2025,KT,1125.5,3.806308307418925,0.45668591737005776,95.0,343.0,50.0,950.0
2025,LG,1113.8000000000002,3.5392350511761532,0.3519482851499371,75.0,392.0,47.0,950.0
2025,NC,1064.7,4.52240067624683,1.2200619892927584,114.0,466.0,77.0,906.0
2025,SSG,1176.5000000000002,3.5112622184445383,0.4904377390565235,101.0,447.0,59.0,1127.0
2025,두산,1049.3,4.031258934527781,0.7681311350424093,83.0,415.0,78.0,876.0
2025,롯데,1064.5,4.497886331611085,0.7271019257867544,96.0,446.0,52.0,984.0
2025,삼성,1139.6,3.956651456651457,0.80993330993331,117.0,374.0,62.0,953.0
2025,키움,1067.3000000000002,4.9583060058090505,1.3304600393516348,123.0,398.0,65.0,784.0
2025,한화,1216.5,3.432799013563502,0.14221126181668722,97.0,410.0,84.0,1285.0
