,PA,PA,PA,PA,PA,PA,PA,PA,G,G,G,G,G,G,G,G,OBP,OBP,OBP,OBP,OBP,OBP,OBP,OBP,SLG,SLG,SLG,SLG,SLG,SLG,SLG,SLG,HR,HR,HR,HR,HR,HR,HR,HR,BB,BB,BB,BB,BB,BB,BB,BB,R/ePA,R/ePA,R/ePA,R/ePA,R/ePA,R/ePA,R/ePA,R/ePA,WAR,WAR,WAR,WAR,WAR,WAR,WAR,WAR,wRC+,wRC+,wRC+,wRC+,wRC+,wRC+,wRC+,wRC+,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,AB,AB,AB,AB,AB,AB,AB,AB,H,H,H,H,H,H,H,H,SO,SO,SO,SO,SO,SO,SO,SO
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,25.0,227.48,242.14047575735867,1.0,22.0,101.0,502.0,643.0,25.0,68.92,55.55546777770843,2.0,18.0,47.0,130.0,144.0,25.0,0.31408,0.18448372105238264,0.0,0.231,0.334,0.371,1.0,25.0,0.32284,0.19826932020192467,0.0,0.259,0.359,0.396,1.0,25.0,3.72,6.161168720299745,0.0,0.0,1.0,6.0,23.0,25.0,23.32,27.794963572561127,0.0,1.0,9.0,49.0,88.0,25.0,0.09163999999999999,0.14437649854922138,-0.167,0.025,0.114,0.141,0.612,25.0,1.3468,2.286014945999552,-0.85,-0.18,0.05,3.46,6.89,25.0,80.03600000000002,124.24026749273631,-150.8,21.8,100.7,123.9,520.1,25.0,0.2414,0.18675697220362794,0.0,0.141,0.249,0.293,1.0,25.0,3.56,3.6295086903509866,0.0,0.0,3.0,6.0,11.0,25.0,195.24,206.95576822113463,1.0,18.0,88.0,422.0,524.0,25.0,54.56,62.91666445916111,0.0,3.0,22.0,113.0,174.0,25.0,32.16,32.3659800819729,0.0,5.0,16.0,58.0,90.0
2024,29.0,197.3448275862069,242.180168449334,1.0,9.0,41.0,428.0,637.0,29.0,59.758620689655174,55.54705545263518,1.0,12.0,37.0,128.0,144.0,29.0,0.29741379310344834,0.15272279211541115,0.0,0.25,0.333,0.372,0.667,29.0,0.3059310344827586,0.2180060502165811,0.0,0.15,0.349,0.411,1.0,29.0,3.9655172413793105,7.8443918029775075,0.0,0.0,0.0,5.0,32.0,29.0,21.24137931034483,28.225691402911885,0.0,0.0,3.0,47.0,96.0,29.0,0.07451724137931034,0.14408346308641864,-0.19,0.006,0.101,0.145,0.487,29.0,1.0465517241379312,1.839959774137291,-0.61,-0.13,0.04,2.1,5.23,29.0,57.47931034482759,108.5432052861583,-151.2,4.4,77.6,111.0,367.5,29.0,0.22531034482758622,0.1478604804363791,0.0,0.143,0.254,0.297,0.667,29.0,3.3793103448275863,4.362288006338681,0.0,0.0,1.0,7.0,14.0,29.0,169.55172413793105,208.09709035634862,1.0,6.0,37.0,370.0,527.0,29.0,48.06896551724138,62.852395700722475,0.0,1.0,9.0,96.0,176.0,29.0,33.37931034482759,40.28506794716113,0.0,3.0,7.0,51.0,112.0
2025,25.0,228.44,231.66554196369674,2.0,17.0,118.0,499.0,607.0,25.0,70.68,54.9937269149855,2.0,16.0,52.0,131.0,144.0,25.0,0.34619999999999995,0.1562276650703496,0.167,0.25,0.33,0.379,1.0,25.0,0.37951999999999997,0.17960306233469406,0.0,0.33,0.367,0.422,1.0,25.0,5.2,8.684276980075351,0.0,0.0,1.0,3.0,31.0,25.0,24.12,27.945363360195074,0.0,1.0,7.0,54.0,79.0,25.0,0.12144,0.1177667468628843,-0.049,0.067,0.12,0.142,0.582,25.0,1.4531999999999998,1.9273680672530262,-0.46,0.01,0.11,3.36,5.12,25.0,103.35199999999999,99.29070164589095,-41.5,57.2,101.9,121.0,486.7,25.0,0.27343999999999996,0.16825255817767926,0.0,0.2,0.255,0.287,1.0,25.0,3.96,4.305810028322197,0.0,1.0,2.0,7.0,15.0,25.0,196.72,198.3596313097333,1.0,15.0,106.0,425.0,515.0,25.0,54.64,58.11115784999182,0.0,3.0,28.0,114.0,145.0,25.0,39.0,38.796477503333556,0.0,6.0,30.0,59.0,124.0
