,G,G,G,G,G,G,G,G,IP,IP,IP,IP,IP,IP,IP,IP,TBF,TBF,TBF,TBF,TBF,TBF,TBF,TBF,GS,GS,GS,GS,GS,GS,GS,GS,GR,GR,GR,GR,GR,GR,GR,GR,ERA,ERA,ERA,ERA,ERA,ERA,ERA,ERA,WHIP,WHIP,WHIP,WHIP,WHIP,WHIP,WHIP,WHIP,WAR,WAR,WAR,WAR,WAR,WAR,WAR,WAR,FIP,FIP,FIP,FIP,FIP,FIP,FIP,FIP,SO,SO,SO,SO,SO,SO,SO,SO,BB,BB,BB,BB,BB,BB,BB,BB,W,W,W,W,W,W,W,W,L,L,L,L,L,L,L,L,S,S,S,S,S,S,S,S,HD,HD,HD,HD,HD,HD,HD,HD,H,H,H,H,H,H,H,H
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,33.0,22.333333333333332,22.96283228756128,1.0,4.0,9.0,38.0,80.0,33.0,38.93030303030302,44.431580019512054,0.1,3.2,21.2,55.2,178.2,33.0,170.27272727272728,187.78632683306455,1.0,17.0,103.0,245.0,746.0,33.0,4.363636363636363,8.142550973966104,0.0,0.0,0.0,5.0,30.0,33.0,17.96969696969697,24.168011979273412,0.0,1.0,4.0,38.0,80.0,33.0,6.104242424242425,6.569511506907796,0.0,2.45,3.83,6.23,27.0,33.0,2.007878787878788,1.5935803979870249,0.0,1.36,1.55,2.0,9.0,33.0,0.6712121212121211,1.2316598494911186,-0.72,-0.06,0.06,0.9,4.44,33.0,5.861515151515151,6.596433279248397,2.69,3.85,4.41,5.02,41.05,33.0,29.606060606060606,33.858104083383225,0.0,3.0,14.0,42.0,129.0,33.0,14.878787878787879,13.60091351655647,0.0,3.0,12.0,22.0,54.0,33.0,2.606060606060606,3.6481107605460834,0.0,0.0,1.0,4.0,14.0,33.0,1.696969696969697,2.256723959704206,0.0,0.0,0.0,3.0,8.0,33.0,1.121212121212121,2.858731971495139,0.0,0.0,0.0,1.0,15.0,33.0,2.787878787878788,5.429995256429649,0.0,0.0,0.0,2.0,21.0,33.0,38.36363636363637,44.08288938311141,0.0,7.0,25.0,55.0,183.0
2024,30.0,23.566666666666666,18.17099494995429,1.0,8.75,21.5,32.25,71.0,30.0,42.28666666666666,47.1981789050597,1.1,11.424999999999999,23.65,51.7,167.2,30.0,189.86666666666667,202.39134732311152,8.0,55.0,113.5,240.5,714.0,30.0,4.8,9.297385616954092,0.0,0.0,0.0,2.0,30.0,30.0,18.766666666666666,20.140340943820522,0.0,1.25,13.5,31.5,71.0,30.0,6.218,4.150417012700091,0.0,3.9825,4.615,6.9,20.25,30.0,1.8196666666666668,0.6587003051115302,1.21,1.4324999999999999,1.5750000000000002,1.99,3.75,30.0,0.6363333333333333,1.3109130362101626,-0.75,-0.1075,0.1,0.845,3.94,30.0,5.894000000000001,2.365763855647823,3.14,4.715,5.42,6.6,16.61,30.0,36.06666666666667,42.44097997936894,1.0,8.0,14.0,51.75,157.0,30.0,17.633333333333333,15.703027016192271,1.0,6.25,11.5,24.5,57.0,30.0,2.533333333333333,3.5402448126271344,0.0,0.0,1.0,3.0,13.0,30.0,2.2,2.696101911508795,0.0,0.0,1.0,2.75,10.0,30.0,1.1333333333333333,4.725085902034925,0.0,0.0,0.0,0.75,26.0,30.0,2.1666666666666665,5.106340435544634,0.0,0.0,1.0,1.0,27.0,30.0,45.833333333333336,48.84534590001338,0.0,13.5,30.0,58.25,169.0
2025,30.0,22.733333333333334,20.304464148748572,1.0,5.25,14.0,32.5,78.0,30.0,42.473333333333336,50.736390621853786,0.1,6.0,28.0,48.675000000000004,177.0,30.0,183.6,212.65053086193336,5.0,31.5,122.5,228.25,737.0,30.0,4.8,9.646868350170289,0.0,0.0,0.0,3.25,30.0,30.0,17.933333333333334,22.01086461090387,0.0,2.0,7.5,32.5,78.0,30.0,6.090333333333334,5.682644772392112,0.0,3.0999999999999996,4.505,5.885,27.0,30.0,1.7066666666666668,1.0023707529835362,0.6,1.2349999999999999,1.33,1.8275000000000001,6.0,30.0,0.8510000000000001,1.4999939080336062,-0.28,-0.04,0.165,0.8725,5.21,30.0,6.438333333333333,6.257326785916421,2.84,3.82,4.4,5.405,34.82,30.0,36.0,41.0306865818659,0.0,5.25,23.5,50.25,137.0,30.0,16.366666666666667,14.05526857490257,0.0,4.25,14.0,24.0,49.0,30.0,2.8333333333333335,3.957387969384589,0.0,0.0,1.0,3.75,13.0,30.0,1.8666666666666667,2.1929877797878516,0.0,0.0,1.0,3.0,7.0,30.0,1.4,4.1985219073974775,0.0,0.0,0.0,0.75,21.0,30.0,2.566666666666667,6.317372507799335,0.0,0.0,0.0,2.0,33.0,30.0,41.2,50.98370260224812,0.0,8.25,28.0,49.75,173.0
