,G,G,G,G,G,G,G,G,IP,IP,IP,IP,IP,IP,IP,IP,TBF,TBF,TBF,TBF,TBF,TBF,TBF,TBF,GS,GS,GS,GS,GS,GS,GS,GS,GR,GR,GR,GR,GR,GR,GR,GR,ERA,ERA,ERA,ERA,ERA,ERA,ERA,ERA,WHIP,WHIP,WHIP,WHIP,WHIP,WHIP,WHIP,WHIP,WAR,WAR,WAR,WAR,WAR,WAR,WAR,WAR,FIP,FIP,FIP,FIP,FIP,FIP,FIP,FIP,SO,SO,SO,SO,SO,SO,SO,SO,BB,BB,BB,BB,BB,BB,BB,BB,W,W,W,W,W,W,W,W,L,L,L,L,L,L,L,L,S,S,S,S,S,S,S,S,HD,HD,HD,HD,HD,HD,HD,HD,H,H,H,H,H,H,H,H
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,25.0,25.64,24.07259853027919,1.0,2.0,22.0,41.0,76.0,25.0,51.41199999999999,51.405563252758284,0.0,4.1,38.2,80.0,168.1,25.0,228.88,220.7744550440562,3.0,29.0,170.0,357.0,713.0,25.0,5.76,9.803400770480959,0.0,0.0,0.0,9.0,30.0,25.0,19.88,25.79295769520562,0.0,1.0,6.0,38.0,76.0,25.0,11.5604,24.049060182607274,0.0,3.53,5.23,6.19,99.99,25.0,6.061199999999999,19.628529474551403,1.3,1.53,1.65,2.08,99.99,25.0,0.65,1.1508366521796218,-0.35,-0.06,0.11,0.67,3.63,25.0,605.8219999999999,2999.5802043577696,3.63,4.12,4.76,6.35,15003.8,25.0,38.96,37.76294480042572,0.0,3.0,31.0,65.0,119.0,25.0,24.48,22.053193268398417,1.0,4.0,19.0,36.0,70.0,25.0,3.04,3.445770354120154,0.0,0.0,2.0,5.0,9.0,25.0,2.6,3.0686587732536617,0.0,0.0,1.0,5.0,10.0,25.0,1.84,8.379936356162457,0.0,0.0,0.0,0.0,42.0,25.0,2.84,6.6060578259654985,0.0,0.0,0.0,3.0,30.0,25.0,54.16,53.28827263103956,0.0,8.0,44.0,77.0,163.0
2024,28.0,25.178571428571427,24.02167782006505,2.0,6.0,18.5,31.25,77.0,28.0,45.10357142857142,44.41263152104746,0.2,12.924999999999999,22.6,63.25,162.1,28.0,204.89285714285714,191.79412945978845,7.0,65.25,112.5,283.25,709.0,28.0,5.142857142857143,9.359939401965464,0.0,0.0,0.0,5.25,31.0,28.0,20.035714285714285,26.087434385240588,0.0,2.0,7.0,27.5,77.0,28.0,8.19107142857143,9.826691293232262,0.0,4.395,5.675,7.88,54.0,28.0,2.1085714285714285,2.0142303268305266,0.43,1.44,1.66,2.0925,12.0,28.0,0.6217857142857143,1.2765290136739247,-0.84,-0.1575,0.1,0.8425,3.61,28.0,6.999999999999999,5.6700016330260885,3.15,4.6475,5.52,6.605,32.73,28.0,42.67857142857143,45.59000342946261,0.0,8.75,27.0,67.25,158.0,28.0,22.5,19.655363983740756,0.0,7.0,20.5,31.0,73.0,28.0,2.5714285714285716,3.47934190700197,0.0,0.0,1.0,4.25,12.0,28.0,2.5,3.1797973380564852,0.0,0.0,1.0,3.25,10.0,28.0,1.1785714285714286,4.329516023149585,0.0,0.0,0.0,0.0,20.0,28.0,2.857142857142857,7.570480124283354,0.0,0.0,0.0,1.5,38.0,28.0,47.892857142857146,42.82897884110044,1.0,12.75,35.5,67.0,162.0
2025,21.0,33.23809523809524,23.61970525198137,1.0,18.0,28.0,44.0,77.0,21.0,60.857142857142854,46.63651542974208,1.0,22.2,63.1,77.0,171.2,21.0,259.95238095238096,193.670977740723,4.0,95.0,255.0,305.0,694.0,21.0,6.857142857142857,10.155223849259622,0.0,0.0,1.0,8.0,30.0,21.0,26.38095238095238,27.28639989166066,0.0,2.0,17.0,44.0,77.0,21.0,4.027619047619048,2.0661870795305655,0.0,2.78,3.82,5.13,8.31,21.0,1.406190476190476,0.5459347597513479,0.0,1.15,1.41,1.56,3.0,21.0,1.4214285714285715,1.7409488381749927,-0.26,0.17,0.75,1.99,6.54,21.0,4.994285714285715,2.1005822322122296,2.37,3.77,4.37,5.58,11.12,21.0,56.80952380952381,57.955689149227666,0.0,14.0,44.0,68.0,245.0,21.0,24.19047619047619,15.295813308284876,0.0,12.0,24.0,31.0,51.0,21.0,3.5238095238095237,3.802881113301435,0.0,0.0,2.0,5.0,12.0,21.0,3.0952380952380953,2.9309514138716444,0.0,0.0,2.0,5.0,10.0,21.0,1.7142857142857142,6.520297977415274,0.0,0.0,0.0,0.0,30.0,21.0,4.857142857142857,10.794840037192373,0.0,0.0,0.0,2.0,35.0,21.0,55.42857142857143,42.240468070999675,0.0,21.0,48.0,72.0,164.0
