,PA,PA,PA,PA,PA,PA,PA,PA,G,G,G,G,G,G,G,G,OBP,OBP,OBP,OBP,OBP,OBP,OBP,OBP,SLG,SLG,SLG,SLG,SLG,SLG,SLG,SLG,HR,HR,HR,HR,HR,HR,HR,HR,BB,BB,BB,BB,BB,BB,BB,BB,R/ePA,R/ePA,R/ePA,R/ePA,R/ePA,R/ePA,R/ePA,R/ePA,WAR,WAR,WAR,WAR,WAR,WAR,WAR,WAR,wRC+,wRC+,wRC+,wRC+,wRC+,wRC+,wRC+,wRC+,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,AB,AB,AB,AB,AB,AB,AB,AB,H,H,H,H,H,H,H,H,SO,SO,SO,SO,SO,SO,SO,SO
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,27.0,207.66666666666666,178.36414782901085,1.0,38.5,199.0,285.0,608.0,27.0,67.92592592592592,40.824131180096,1.0,38.0,65.0,101.5,142.0,27.0,0.29270370370370374,0.09535916510944488,0.0,0.2475,0.314,0.359,0.427,27.0,0.3067037037037037,0.15103229782319735,0.0,0.2235,0.331,0.391,0.671,27.0,3.740740740740741,5.795174335949315,0.0,0.0,2.0,4.5,20.0,27.0,18.51851851851852,17.75554164927838,0.0,3.0,13.0,31.0,65.0,27.0,0.07670370370370373,0.08520419582247687,-0.167,0.042499999999999996,0.093,0.1295,0.243,27.0,0.9637037037037037,1.6224770903873833,-0.55,-0.2,0.2,1.8900000000000001,4.23,27.0,66.27407407407408,74.4370905922609,-149.7,37.599999999999994,80.3,112.2,209.8,27.0,0.22018518518518515,0.09647599822555988,0.0,0.1685,0.255,0.2985,0.365,27.0,4.2592592592592595,4.468630771126763,0.0,1.0,3.0,6.0,14.0,27.0,183.4814814814815,158.08623994282127,1.0,34.0,174.0,257.0,547.0,27.0,50.55555555555556,49.43008530574606,0.0,5.5,37.0,80.5,156.0,27.0,35.44444444444444,26.1185659479897,1.0,12.5,36.0,53.0,83.0
2024,25.0,232.48,222.1970071805649,6.0,27.0,187.0,449.0,625.0,25.0,73.0,50.72146159828861,3.0,20.0,94.0,115.0,141.0,25.0,0.35796,0.05983134629941065,0.239,0.333,0.359,0.38,0.5,25.0,0.40724,0.1047832206669242,0.182,0.383,0.404,0.456,0.647,25.0,6.52,9.954563442629382,0.0,0.0,1.0,9.0,38.0,25.0,21.16,21.357434302837035,0.0,2.0,12.0,41.0,66.0,25.0,0.13556,0.053776605818267605,0.01,0.119,0.141,0.161,0.232,25.0,1.162,1.8866217603607425,-0.21,-0.05,0.51,1.59,8.59,25.0,100.52,39.46293619756814,7.5,88.3,105.2,119.0,172.5,25.0,0.2896,0.055205676036678204,0.136,0.273,0.291,0.308,0.407,25.0,4.76,5.043808085167396,0.0,0.0,3.0,8.0,17.0,25.0,204.96,197.00538909718517,5.0,27.0,168.0,399.0,552.0,25.0,61.68,61.96552805122108,2.0,8.0,50.0,115.0,189.0,25.0,36.6,34.79583308386221,0.0,6.0,31.0,48.0,110.0
2025,30.0,187.26666666666668,169.63102622300931,6.0,58.75,128.5,275.5,595.0,30.0,60.7,42.234280895483714,4.0,25.5,50.0,96.0,134.0,30.0,0.3098666666666667,0.07458285526078078,0.159,0.27675,0.3145,0.3605,0.467,30.0,0.3371,0.12927446076815233,0.075,0.28625,0.347,0.431,0.582,30.0,4.8,7.897620767870754,0.0,0.0,2.0,5.75,35.0,30.0,17.533333333333335,18.388027089111137,0.0,5.0,10.0,24.75,67.0,30.0,0.09386666666666668,0.06748983746401781,-0.046,0.05425,0.1,0.144,0.187,30.0,0.7073333333333334,1.4679869710342923,-1.49,-0.1075,0.12,1.1625,4.56,30.0,79.45666666666668,57.26279819805581,-38.5,46.099999999999994,84.6,121.675,160.1,30.0,0.2336666666666667,0.07507345062341111,0.075,0.1945,0.237,0.28099999999999997,0.385,30.0,3.2,3.3466401061363023,0.0,1.0,2.0,4.0,11.0,30.0,164.76666666666668,148.266461744256,6.0,52.25,116.0,242.0,516.0,30.0,42.53333333333333,42.697600137141954,1.0,6.25,32.5,59.5,148.0,30.0,40.333333333333336,39.72433748353453,2.0,14.0,29.5,48.75,158.0
